Date,Open,High,Low,Close,Adj Close,Volume
2013-04-19,92.389999,92.870003,91.699997,92.389999,89.253487,1901000
2013-04-22,92.669998,92.849998,90.949997,92.500000,89.359734,1584300
2013-04-23,92.940002,93.190002,92.029999,93.169998,90.006989,2537900
2013-04-24,94.699997,96.150002,94.400002,94.459999,91.253189,3056500
2013-04-25,94.610001,94.940002,93.230003,94.300003,91.098640,2326400
2013-04-26,94.570000,94.779999,93.989998,94.180000,90.982704,1652400
2013-04-29,94.449997,94.580002,93.500000,93.750000,90.567307,1878900
2013-04-30,93.839996,94.430000,93.089996,94.010002,90.818474,1981000
2013-05-01,93.660004,94.019997,91.839996,92.000000,88.876717,2396600
2013-05-02,92.230003,93.110001,92.180000,92.290001,89.156860,2404500
2013-05-03,92.980003,95.139999,92.980003,94.519997,91.311165,2317300
2013-05-06,94.919998,96.800003,94.739998,96.230003,92.963104,3045700
2013-05-07,96.629997,99.599998,96.510002,99.519997,96.141418,4689700
2013-05-08,99.070000,102.089996,98.800003,101.949997,98.488922,4873600
2013-05-09,101.570000,102.099998,100.230003,100.430000,97.020531,2754200
2013-05-10,100.150002,101.160004,99.620003,100.120003,96.721046,2278900
2013-05-13,99.839996,99.949997,98.720001,98.800003,95.445869,2047800
2013-05-14,98.900002,100.720001,98.879997,100.680000,97.262039,1921900
2013-05-15,100.529999,100.870003,99.790001,100.279999,96.875618,2054200
2013-05-16,100.239998,100.790001,98.730003,98.940002,95.581116,1776300
2013-05-17,99.449997,100.080002,98.860001,100.050003,96.653427,2222600
2013-05-20,100.059998,101.559998,99.599998,101.180000,97.745056,2390900
2013-05-21,101.389999,103.050003,101.250000,102.169998,98.701447,2796900
2013-05-22,102.080002,102.900002,99.000000,99.650002,96.267014,3251200
2013-05-23,98.629997,99.709999,98.000000,99.099998,95.735664,1649000
2013-05-24,98.669998,98.669998,97.349998,97.820000,94.499138,2543100
2013-05-28,98.820000,99.099998,95.970001,96.529999,93.252930,4178600
2013-05-29,96.480003,97.500000,96.080002,96.550003,93.272240,2446000
2013-05-30,96.750000,97.099998,95.879997,96.519997,93.243279,2947600
2013-05-31,96.250000,97.970001,96.120003,96.339996,93.069366,2273500
2013-06-03,96.510002,97.709999,96.019997,97.699997,94.383202,2263600
2013-06-04,97.639999,99.000000,97.449997,98.379997,95.040100,3045500
2013-06-05,98.000000,98.199997,96.180000,97.089996,93.793907,2174500
2013-06-06,97.010002,97.519997,95.639999,96.839996,93.552406,2478500
2013-06-07,97.739998,99.839996,97.480003,99.779999,96.392593,2508400
2013-06-10,99.860001,99.980003,98.540001,98.660004,95.310616,1842300
2013-06-11,97.610001,98.790001,97.110001,98.040001,94.711662,1563000
2013-06-12,98.580002,98.900002,97.279999,97.489998,94.180328,1289900
2013-06-13,97.410004,99.849998,97.099998,99.580002,96.347633,1424300
2013-06-14,99.510002,100.750000,98.720001,99.120003,95.902557,1534900
2013-06-17,100.129997,100.199997,97.680000,98.410004,95.215614,2504600
2013-06-18,98.620003,100.379997,98.239998,99.480003,96.250862,2195300
2013-06-19,100.959999,103.470001,99.260002,100.540001,97.276474,4496600
2013-06-20,97.839996,97.970001,95.169998,95.709999,92.603241,4945600
2013-06-21,96.500000,97.029999,94.669998,96.459999,93.328918,3632400
2013-06-24,95.370003,96.699997,94.599998,95.900002,92.787079,2710500
2013-06-25,97.050003,98.309998,96.680000,97.190002,94.035194,2240600
2013-06-26,98.070000,99.349998,97.989998,98.370003,95.176903,2777200
2013-06-27,99.150002,99.529999,98.730003,99.370003,96.144447,1941500
2013-06-28,98.910004,99.589996,98.580002,98.580002,95.380089,2245400
2013-07-01,98.720001,99.730003,98.550003,98.889999,95.680016,1975900
2013-07-02,98.760002,99.419998,97.940002,98.269997,95.080162,1740900
2013-07-03,97.879997,98.250000,97.540001,97.769997,94.596390,783900
2013-07-05,98.589996,99.199997,98.180000,98.959999,95.747749,1056300
2013-07-08,99.180000,99.500000,98.629997,98.830002,95.621986,1913400
2013-07-09,99.500000,106.349998,99.389999,103.150002,99.801735,15122500
