Date,Open,High,Low,Close,Adj Close,Volume
2013-04-25,38.650002,38.900002,37.160000,38.099998,37.914085,840400
2013-04-26,38.150002,38.380001,37.910000,38.160000,37.973797,420200
2013-04-29,38.279999,38.580002,38.119999,38.520000,38.332035,362400
2013-04-30,38.480000,38.720001,38.139999,38.500000,38.312134,818300
2013-05-01,38.500000,38.500000,37.049999,37.049999,36.869209,578500
2013-05-02,37.189999,38.230000,37.189999,37.599998,37.416519,504500
2013-05-03,38.180000,39.000000,37.840000,38.950001,38.759941,710400
2013-05-06,39.000000,40.000000,38.700001,39.770000,39.575939,934300
2013-05-07,39.939999,40.340000,39.560001,40.150002,39.954086,420200
2013-05-08,39.950001,40.439999,39.619999,40.029999,39.834667,503700
2013-05-09,40.090000,40.189999,39.259998,39.389999,39.197788,367000
2013-05-10,39.560001,39.770000,39.299999,39.709999,39.516232,290000
2013-05-13,39.730000,39.779999,39.279999,39.590000,39.396816,236500
2013-05-14,39.689999,40.750000,39.689999,40.619999,40.421787,509500
2013-05-15,40.650002,41.060001,40.480000,40.970001,40.770088,379500
2013-05-16,40.939999,41.099998,40.369999,40.490002,40.292427,320800
2013-05-17,40.560001,41.230000,40.529999,41.230000,41.028812,379200
2013-05-20,41.169998,41.959999,40.950001,41.930000,41.725399,747900
2013-05-21,42.049999,42.900002,41.799999,42.880001,42.670765,1396400
2013-05-22,42.900002,43.480000,42.810001,42.889999,42.680714,2081300
2013-05-23,42.480000,42.900002,42.139999,42.869999,42.660805,651100
2013-05-24,42.660000,43.200001,42.209999,42.790001,42.581200,494500
2013-05-28,43.310001,44.000000,43.160000,43.560001,43.347446,649600
2013-05-29,43.330002,43.599998,42.880001,43.189999,42.979248,553200
2013-05-30,43.330002,43.549999,43.000000,43.310001,43.098663,456900
2013-05-31,42.970001,43.740002,42.970001,43.060001,42.849888,661100
2013-06-03,43.040001,43.119999,41.950001,42.730000,42.521496,1038000
2013-06-04,42.650002,43.189999,41.910000,42.169998,41.964226,558500
2013-06-05,42.099998,42.299999,41.189999,41.540001,41.337299,612600
2013-06-06,41.430000,41.980000,41.189999,41.980000,41.775150,580200
2013-06-07,42.580002,43.509998,42.380001,43.070000,42.859833,383900
2013-06-10,43.509998,44.000000,43.040001,43.619999,43.407150,778200
2013-06-11,43.090000,43.480000,42.779999,43.020000,42.810081,341800
2013-06-12,43.400002,43.549999,42.570000,42.750000,42.541397,333700
2013-06-13,42.700001,43.410000,42.259998,43.150002,42.939449,473200
2013-06-14,43.110001,43.380001,42.790001,42.959999,42.750370,372100
2013-06-17,43.310001,43.459999,42.320000,42.549999,42.342373,626100
2013-06-18,42.570000,43.299999,42.240002,43.150002,42.939449,381400
2013-06-19,43.279999,43.419998,42.790001,42.919998,42.710564,256200
2013-06-20,42.459999,42.990002,41.790001,42.080002,41.874668,354700
2013-06-21,42.250000,42.470001,41.470001,42.220001,42.013988,697600
2013-06-24,41.799999,42.070000,41.009998,41.230000,41.028812,433600
2013-06-25,41.680000,42.040001,41.320000,41.619999,41.416912,484900
2013-06-26,42.040001,42.279999,41.439999,41.459999,41.257687,429300
2013-06-27,41.720001,42.380001,41.480000,42.250000,42.043835,447100
2013-06-28,42.290001,42.709999,41.560001,41.619999,41.416912,8473700
2013-07-01,41.950001,43.009998,41.930000,42.779999,42.571247,749300
2013-07-02,42.799999,43.110001,42.480000,42.720001,42.511547,394900
2013-07-03,42.599998,42.939999,42.299999,42.869999,42.660805,404900
2013-07-05,43.349998,43.790001,43.060001,43.779999,43.566368,238500
2013-07-08,44.070000,44.380001,43.759998,44.020000,43.805199,426400
2013-07-09,44.240002,44.630001,44.189999,44.389999,44.173393,485900
2013-07-10,44.419998,44.570000,43.730000,43.860001,43.645981,408600
2013-07-11,44.730000,44.730000,44.000000,44.320000,44.103737,460500
2013-07-12,44.020000,44.490002,43.860001,44.180000,43.964420,244100
2013-07-15,44.529999,44.529999,44.000000,44.299999,44.083832,254800
2013-07-16,44.369999,44.630001,43.189999,43.419998,43.208126,490700
2013-07-17,43.759998,43.900002,43.040001,43.130001,42.919544,497600
2013-07-18,43.340000,44.330002,43.310001,44.009998,43.795242,494900
2013-07-19,44.009998,44.220001,43.540001,43.880001,43.665882,198500
2013-07-22,43.900002,44.180000,43.470001,43.840000,43.626080,210600
2013-07-23,43.990002,43.990002,42.970001,43.029999,42.820030,484000
2013-07-24,43.060001,43.290001,42.439999,42.570000,42.362278,996800
2013-07-25,44.680000,44.790001,42.910000,43.270000,43.058861,1291500
2013-07-26,43.259998,44.520000,43.060001,44.389999,44.173393,591500
2013-07-29,44.279999,44.279999,43.660000,43.700001,43.486763,433900
2013-07-30,43.930000,43.930000,43.320000,43.540001,43.327541,479400
2013-07-31,43.520000,43.919998,43.430000,43.680000,43.466862,473600
2013-08-01,44.020000,45.310001,43.799999,45.209999,44.989391,1216800
2013-08-02,45.119999,45.169998,44.509998,44.709999,44.491833,397300
2013-08-05,44.590000,45.090000,44.480000,44.860001,44.641106,401400
2013-08-06,45.500000,45.500000,44.669998,44.740002,44.521690,580400
2013-08-07,44.459999,44.590000,43.830002,44.310001,44.093784,468600
2013-08-08,44.709999,45.029999,44.599998,44.759998,44.541588,458200
2013-08-09,44.549999,45.270000,44.380001,45.119999,44.899834,458400
2013-08-12,44.840000,45.200001,44.720001,45.070000,44.850079,422400
2013-08-13,45.130001,45.660000,44.700001,45.650002,45.427246,595000
2013-08-14,45.619999,45.810001,45.290001,45.430000,45.208321,510500
